Claim,Status,Source / evidence,Action required
Nickname: The Lufula Boys / Lufala Boys,CONFIRMED,Club X bio @FcCatda; club Facebook page,None
"Rooted in the Kampala City Abattoir (Lufula), Old Port Bell Road / Industrial Area",CONFIRMED (location) · PARTLY (abattoir link),Legacy X @CatdaClub lists 'Industrial Area Kampala'; abattoir link per club brief and nickname,Confirm the traders'-association governance story with club officials
"Current league: FUFA Big League (tier 2), 2026/27",CONFIRMED,Kawowo 25 May 2025; FUFA fixture release; ugandafootball.com table,None
"Promoted 25 May 2025: beat Ntinda United 4-2 on pens (0-0), MTN Omondi Stadium, Lugogo",CONFIRMED,"Kawowo Sports, 26 May 2025",None
Michael Abura named 2024/25 Kampala region play-off MVP,CONFIRMED,"Kawowo Sports, 26 May 2025",None
"2025/26 FUFA Big League final position: 10th of 16, 37 pts, 9W 10D 11L, 24-32",CONFIRMED,ugandafootball.com final table,None
2026/27 FUFA Big League kicks off 20 Sep 2026; fixtures released 24 Aug 2026,CONFIRMED,Swift Sports Uganda / FUFA,None
"2026/27 opening fixture: opponent, date, venue",UNCONFIRMED,Not sourced,GET FROM CLUB - shown as TBC on site
Home ground: Bugolobi Coffee Grounds,CONFIRMED,Kawowo MD19/20/23 reports; Daily Monitor MD29 fixture list,None
"Cup venue: Kakungulu Memorial School grounds, Kibuli",CONFIRMED,Africa Top Sports 11 Feb 2025; Swift Sports Uganda,None
Historic home: Kiira Road Police playground,CONFIRMED,Kawowo Jan 2022 match reports,None
Home ground 'Lugogo StarTimes Stadium' / 'Mengor / Kabusu local grounds',REJECTED - not supported,No source found,Removed from site
"2017/18 Nakawa District champions, promoted to Kampala Regional League",CONFIRMED (club record),Club's own 'Our Club' statement,None
"2019/20: beat Edgars FC 2-0 in Kampala regional play-off final, FUFA Technical Centre Njeru",CONFIRMED,Kawowo 22 Oct 2020 preview; club Facebook highlights,None
2019/20: lost inter-regional final 1-0 to Luweero United,PARTLY CONFIRMED,The Njeru final vs Buganda champion Luweero United is confirmed; exact scoreline is club-sourced,Confirm scoreline with club
2023/24: topped Scorpion Group with 54 pts from 21 games; head coach Michael Bukenya,CONFIRMED,Swift Sports Uganda 31 May 2024,None
"2023/24 play-off final: 1-1 vs Proline at Muteesa II Wankulukuku, lost 6-7 on pens",CONFIRMED,Kawowo 2 Jun 2024; Sky Sports Uganda,None
Hudson Mbalire scored 19 league goals in 2023/24,CONFIRMED,Kawowo 2 Jun 2024,None
"2024/25 Uganda Cup R32: CATDA 1-2 Kitara FC, 20 Feb 2025",CONFIRMED,MTN Sports 20 Feb 2025,None
Kitara were defending Uganda Cup holders at the time,CONFIRMED,Kitara won 2023/24; RSSSF cup finals list,None
2021/22 Uganda Cup R64: KCCA FC 2-0 CATDA; Mutebi quote,CONFIRMED,goal.com 27 Sep 2021 quoting New Vision,None
